model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_lut_ZU1R5H.onnx,48,16,16,5,1,0.958464,0.000416,0.23171800000000004
dwconv-bn-relu_lut_QFPTYS.onnx,96,32,32,3,1,2.94912,0.00032,0.53364
dwconv-bn-relu_lut_PYGKPW.onnx,48,32,32,3,1,0.73728,0.00032,0.15648799999999996
dwconv-bn-relu_lut_POEVQX.onnx,96,32,32,5,1,7.667712,0.000832,1.055264
dwconv-bn-relu_lut_AKAQF8.onnx,48,32,32,5,1,1.916928,0.000832,0.272618
dwconv-bn-relu_lut_JVADJO.onnx,96,32,32,3,2,0.73728,0.00032,0.162094
dwconv-bn-relu_lut_UUQBSS.onnx,96,32,32,5,2,1.916928,0.000832,0.279726
dwconv-bn-relu_lut_68QCNW.onnx,92,16,16,3,1,1.35424,0.00016,0.45177800000000007
dwconv-bn-relu_lut_UL0J9S.onnx,92,16,16,3,2,0.33856,0.00016,0.12893200000000002
dwconv-bn-relu_lut_BFX05Z.onnx,46,16,16,3,1,0.33856,0.00016,0.127094
dwconv-bn-relu_lut_JF0GZC.onnx,92,16,16,5,1,3.521024,0.000416,0.7424660000000001
dwconv-bn-relu_lut_DM7TWB.onnx,92,16,16,5,2,0.880256,0.000416,0.217702
dwconv-bn-relu_lut_GPOVZJ.onnx,46,16,16,5,1,0.880256,0.000416,0.21818
dwconv-bn-relu_lut_RAKZ06.onnx,92,32,32,3,1,2.70848,0.00032,0.458668
dwconv-bn-relu_lut_CVCG2Z.onnx,46,32,32,3,1,0.67712,0.00032,0.14954199999999998
dwconv-bn-relu_lut_EL9T5N.onnx,92,32,32,5,1,7.042048,0.000832,0.9075380000000001
dwconv-bn-relu_lut_G396UO.onnx,46,32,32,5,1,1.760512,0.000832,0.25526400000000005
dwconv-bn-relu_lut_KJQGH5.onnx,92,32,32,3,2,0.67712,0.00032,0.15359
dwconv-bn-relu_lut_MN3TTF.onnx,92,32,32,5,2,1.760512,0.000832,0.26918
dwconv-bn-relu_lut_3SEGTT.onnx,88,16,16,3,1,1.23904,0.00016,0.3496020000000001
dwconv-bn-relu_lut_C3VC7B.onnx,88,16,16,3,2,0.30976,0.00016,0.12564400000000003
