model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_lut_YUWEYP.onnx,5,896,208,1,1,4.6644,0.186576,0.094886
conv-bn-relu_lut_NIBACZ.onnx,11,1344,208,1,1,33.85096,0.27976,0.362012
conv-bn-relu_lut_H0PY12.onnx,5,1344,208,1,1,6.994,0.27976,0.11533799999999998
conv-bn-relu_lut_CNXSTG.onnx,11,1792,208,1,1,45.126224,0.372944,0.4439099999999999
conv-bn-relu_lut_J9P5RX.onnx,5,1792,208,1,1,9.3236,0.372944,0.136846
conv-bn-relu_lut_0OKB6V.onnx,11,896,224,1,1,24.312288,0.200928,0.26406
conv-bn-relu_lut_8DY74H.onnx,5,896,224,1,1,5.0232,0.200928,0.09733399999999999
conv-bn-relu_lut_X1C6T0.onnx,11,1344,224,1,1,36.45488,0.30128,0.36710000000000004
conv-bn-relu_lut_VMYGLR.onnx,5,1344,224,1,1,7.532,0.30128,0.11945599999999998
conv-bn-relu_lut_XT47R5.onnx,11,1792,224,1,1,48.597472,0.401632,0.4710299999999999
conv-bn-relu_lut_1ORKDW.onnx,5,1792,224,1,1,10.0408,0.401632,0.146308
conv-bn-relu_lut_3FK9FL.onnx,11,896,240,1,1,26.04888,0.21528,0.286738
conv-bn-relu_lut_2SNZZH.onnx,5,896,240,1,1,5.382,0.21528,0.10654
conv-bn-relu_lut_C2YWSS.onnx,11,1344,240,1,1,39.0588,0.3228,0.40155399999999997
conv-bn-relu_lut_BGV4HW.onnx,5,1344,240,1,1,8.07,0.3228,0.13425600000000001
conv-bn-relu_lut_QQ9RY8.onnx,11,1792,240,1,1,52.06872,0.43032,0.51697
conv-bn-relu_lut_AOU7IK.onnx,5,1792,240,1,1,10.758,0.43032,0.154718
conv-bn-relu_lut_X23HWI.onnx,11,896,256,1,1,27.785472,0.229632,0.30391799999999997
conv-bn-relu_lut_RP3AUB.onnx,5,896,256,1,1,5.7408,0.229632,0.10593599999999999
conv-bn-relu_lut_7XPXE6.onnx,11,1344,256,1,1,41.66272,0.34432,0.42413999999999996
conv-bn-relu_lut_7HZOFN.onnx,5,1344,256,1,1,8.608,0.34432,0.131892
conv-bn-relu_lut_2EEXIM.onnx,11,1792,256,1,1,55.539968,0.459008,0.5504179999999999
conv-bn-relu_lut_18RWFK.onnx,5,1792,256,1,1,11.4752,0.459008,0.162156
conv-bn-relu_lut_F58EXT.onnx,11,240,960,1,1,27.99456,0.23136,0.32545199999999996
conv-bn-relu_lut_PSE8JT.onnx,11,960,192,1,1,22.325952,0.184512,0.251924
conv-bn-relu_lut_79DP0L.onnx,5,960,192,1,1,4.6128,0.184512,0.09165000000000001
conv-bn-relu_lut_D6E3IP.onnx,11,240,1440,1,1,41.99184,0.34704,0.473792
conv-bn-relu_lut_AKJS61.onnx,11,1440,192,1,1,33.477312,0.276672,0.35030200000000006
conv-bn-relu_lut_GXEQUK.onnx,5,1440,192,1,1,6.9168,0.276672,0.11319
conv-bn-relu_lut_KU3WNT.onnx,11,240,1920,1,1,55.98912,0.46272,0.6035159999999999
conv-bn-relu_lut_Y0B9GR.onnx,11,1920,192,1,1,44.628672,0.368832,0.450906
conv-bn-relu_lut_M0R7S1.onnx,5,1920,192,1,1,9.2208,0.368832,0.164182
conv-bn-relu_lut_MD0X3H.onnx,11,960,208,1,1,24.186448,0.199888,0.28751799999999994
conv-bn-relu_lut_KJ6MY1.onnx,5,960,208,1,1,4.9972,0.199888,0.103374
conv-bn-relu_lut_RNVXLL.onnx,11,1440,208,1,1,36.267088,0.299728,0.359558
conv-bn-relu_lut_NPTC9Z.onnx,5,1440,208,1,1,7.4932,0.299728,0.11659600000000003
conv-bn-relu_lut_N4TMME.onnx,11,1920,208,1,1,48.347728,0.399568,0.4598319999999999
conv-bn-relu_lut_RQ3ALF.onnx,5,1920,208,1,1,9.9892,0.399568,0.143476
conv-bn-relu_lut_34COOK.onnx,11,960,224,1,1,26.046944,0.215264,0.270794
conv-bn-relu_lut_SXOPOF.onnx,5,960,224,1,1,5.3816,0.215264,0.09601399999999999
conv-bn-relu_lut_M4BQ0L.onnx,11,1440,224,1,1,39.056864,0.322784,0.378524
conv-bn-relu_lut_DNJ3LP.onnx,5,1440,224,1,1,8.0696,0.322784,0.12191600000000002
conv-bn-relu_lut_433O7Y.onnx,11,1920,224,1,1,52.066784,0.430304,0.49087000000000014
conv-bn-relu_lut_6V4MM6.onnx,5,1920,224,1,1,10.7576,0.430304,0.149308
conv-bn-relu_lut_9P1FPB.onnx,11,960,240,1,1,27.90744,0.23064,0.287784
conv-bn-relu_lut_RUS3Q6.onnx,5,960,240,1,1,5.766,0.23064,0.10080800000000001
conv-bn-relu_lut_4AV99M.onnx,11,1440,240,1,1,41.84664,0.34584,0.40418600000000005
conv-bn-relu_lut_VE9KJR.onnx,5,1440,240,1,1,8.646,0.34584,0.12731400000000004
conv-bn-relu_lut_BUYYDA.onnx,11,1920,240,1,1,55.78584,0.46104,0.5206580000000001
conv-bn-relu_lut_31AFPM.onnx,5,1920,240,1,1,11.526,0.46104,0.15738400000000002
conv-bn-relu_lut_B8N487.onnx,11,960,256,1,1,29.767936,0.246016,0.30171000000000003
conv-bn-relu_lut_JMJGGQ.onnx,5,960,256,1,1,6.1504,0.246016,0.102458
conv-bn-relu_lut_GNI01Y.onnx,11,1440,256,1,1,44.636416,0.368896,0.42557599999999984
conv-bn-relu_lut_QUCXY8.onnx,5,1440,256,1,1,9.2224,0.368896,0.13726
conv-bn-relu_lut_CY4X06.onnx,11,1920,256,1,1,59.504896,0.491776,0.551992
conv-bn-relu_lut_PJFN6S.onnx,5,1920,256,1,1,12.2944,0.491776,0.16486400000000004
conv-bn-relu_lut_QKJUJB.onnx,11,256,1024,1,1,31.843328,0.263168,0.350832
conv-bn-relu_lut_BBCRZW.onnx,11,256,1536,1,1,47.764992,0.394752,0.494826
conv-bn-relu_lut_HBBOW0.onnx,11,256,2048,1,1,63.686656,0.526336,0.640806
conv-bn-relu_lut_OPQSTD.onnx,11,2048,192,1,1,47.602368,0.393408,0.45060799999999995
conv-bn-relu_lut_HPKC4T.onnx,5,2048,192,1,1,9.8352,0.393408,0.140096
conv-bn-relu_lut_BSOSIL.onnx,11,2048,208,1,1,51.569232,0.426192,0.4858759999999999
conv-bn-relu_lut_7TGCQP.onnx,5,2048,208,1,1,10.6548,0.426192,0.14806200000000003
conv-bn-relu_lut_ACZTXG.onnx,11,2048,224,1,1,55.536096,0.458976,0.5183839999999998
conv-bn-relu_lut_TI65GB.onnx,5,2048,224,1,1,11.4744,0.458976,0.156142
conv-bn-relu_lut_AOAK0K.onnx,11,2048,240,1,1,59.50296,0.49176,0.5567279999999999
conv-bn-relu_lut_G8EU1Y.onnx,5,2048,240,1,1,12.294,0.49176,0.16474400000000006
conv-bn-relu_lut_47KO7F.onnx,11,2048,256,1,1,63.469824,0.524544,0.5852200000000001
conv-bn-relu_lut_QEC0ZP.onnx,5,2048,256,1,1,13.1136,0.524544,0.17207
conv-bn-relu_lut_BF70KL.onnx,10,512,192,1,1,9.8496,0.098496,0.13057399999999997
conv-bn-relu_lut_ECVK11.onnx,10,768,192,1,1,14.7648,0.147648,0.17003999999999997
conv-bn-relu_lut_PH754T.onnx,10,1024,192,1,1,19.68,0.1968,0.21066200000000002
conv-bn-relu_lut_8SSMCJ.onnx,10,512,208,1,1,10.6704,0.106704,0.13599999999999995
conv-bn-relu_lut_904TMA.onnx,10,768,208,1,1,15.9952,0.159952,0.18014999999999998
conv-bn-relu_lut_10ZXI2.onnx,10,1024,208,1,1,21.32,0.2132,0.22455999999999998
conv-bn-relu_lut_BNDKCO.onnx,10,512,224,1,1,11.4912,0.114912,0.14452399999999999
conv-bn-relu_lut_DR6H3M.onnx,10,768,224,1,1,17.2256,0.172256,0.18876
conv-bn-relu_lut_VEKBY0.onnx,10,1024,224,1,1,22.96,0.2296,0.23720199999999997
conv-bn-relu_lut_0X6QET.onnx,10,512,240,1,1,12.312,0.12312,0.14853
conv-bn-relu_lut_4N4HRE.onnx,10,768,240,1,1,18.456,0.18456,0.20001600000000003
conv-bn-relu_lut_IXL7RZ.onnx,10,1024,240,1,1,24.6,0.246,0.253946
conv-bn-relu_lut_UT07BJ.onnx,10,512,256,1,1,13.1328,0.131328,0.15619999999999998
